method,route,controller,handler,module,scope classification,project resolution source,resource ownership lookup,guard/decorator,service-level assertion,investor restriction,company restriction,test coverage,status
POST,projects/:projectId/approvals/:id/reject,approvals.controller,reject,approvals,project,resource+header/query/body/params,yes,project,partial-or-yes,n/a,project-assignment-boundary,idor-matrix-partial,classified
POST,projects/:projectId/approvals/:id/return,approvals.controller,returnForCorrection,approvals,project,resource+header/query/body/params,yes,project,partial-or-yes,n/a,project-assignment-boundary,idor-matrix-partial,classified
POST,projects/:projectId/approvals/:id/cancel,approvals.controller,cancel,approvals,project,resource+header/query/body/params,yes,project,partial-or-yes,n/a,project-assignment-boundary,idor-matrix-partial,classified
POST,projects/:projectId/approvals/:id/escalate,approvals.controller,escalate,approvals,project,resource+header/query/body/params,yes,project,partial-or-yes,n/a,project-assignment-boundary,idor-matrix-partial,classified
GET,,audit-log.controller,list,audit-log,global,n/a,no,global,guard-primary,n/a,project-assignment-boundary,scope-static,classified
GET,:id,audit-log.controller,getById,audit-log,global,n/a,no,global,guard-primary,n/a,project-assignment-boundary,scope-static,classified
POST,bootstrap-admin,auth.controller,bootstrapAdmin,auth,public,n/a,no,public,guard-primary,n/a,project-assignment-boundary,scope-static,classified
POST,login,auth.controller,login,auth,public,n/a,no,public,guard-primary,n/a,project-assignment-boundary,scope-static,classified
POST,refresh,auth.controller,refresh,auth,public,n/a,no,public,guard-primary,n/a,project-assignment-boundary,scope-static,classified
POST,logout,auth.controller,logout,auth,public,n/a,no,public,guard-primary,n/a,project-assignment-boundary,scope-static,classified
POST,logout-all,auth.controller,logoutAll,auth,global,n/a,no,global,guard-primary,n/a,project-assignment-boundary,scope-static,classified
POST,forgot-password,auth.controller,forgotPassword,auth,public,n/a,no,public,guard-primary,n/a,project-assignment-boundary,scope-static,classified
POST,reset-password,auth.controller,resetPassword,auth,public,n/a,no,public,guard-primary,n/a,project-assignment-boundary,scope-static,classified
GET,me,auth.controller,me,auth,global,n/a,no,global,guard-primary,n/a,project-assignment-boundary,scope-static,classified
POST,sessions,bank-reconciliation.controller,createSession,bank-reconciliation,global,n/a,no,global,guard-primary,n/a,project-assignment-boundary,scope-static,classified
GET,sessions,bank-reconciliation.controller,listSessions,bank-reconciliation,global,n/a,no,global,guard-primary,n/a,project-assignment-boundary,scope-static,classified
GET,sessions/:sessionId,bank-reconciliation.controller,getSession,bank-reconciliation,global,n/a,no,global,guard-primary,n/a,project-assignment-boundary,scope-static,classified
POST,sessions/:sessionId/import,bank-reconciliation.controller,importStatement,bank-reconciliation,global,n/a,no,global,guard-primary,n/a,project-assignment-boundary,scope-static,classified
PATCH,sessions/:sessionId/column-mapping,bank-reconciliation.controller,updateColumnMapping,bank-reconciliation,global,n/a,no,global,guard-primary,n/a,project-assignment-boundary,scope-static,classified
GET,sessions/:sessionId/lines,bank-reconciliation.controller,listLines,bank-reconciliation,global,n/a,no,global,guard-primary,n/a,project-assignment-boundary,scope-static,classified
GET,sessions/:sessionId/unmatched,bank-reconciliation.controller,listUnmatched,bank-reconciliation,global,n/a,no,global,guard-primary,n/a,project-assignment-boundary,scope-static,classified
POST,sessions/:sessionId/auto-match,bank-reconciliation.controller,autoMatch,bank-reconciliation,global,n/a,no,global,guard-primary,n/a,project-assignment-boundary,scope-static,classified
POST,sessions/:sessionId/match,bank-reconciliation.controller,manualMatch,bank-reconciliation,global,n/a,no,global,guard-primary,n/a,project-assignment-boundary,scope-static,classified
POST,sessions/:sessionId/matches/:matchId/unmatch,bank-reconciliation.controller,unmatch,bank-reconciliation,global,n/a,no,global,guard-primary,n/a,project-assignment-boundary,scope-static,classified
GET,sessions/:sessionId/matches,bank-reconciliation.controller,listMatches,bank-reconciliation,global,n/a,no,global,guard-primary,n/a,project-assignment-boundary,scope-static,classified
POST,sessions/:sessionId/adjustments,bank-reconciliation.controller,postAdjustment,bank-reconciliation,global,n/a,no,global,guard-primary,n/a,project-assignment-boundary,scope-static,classified
GET,sessions/:sessionId/statement,bank-reconciliation.controller,getStatement,bank-reconciliation,global,n/a,no,global,guard-primary,n/a,project-assignment-boundary,scope-static,classified
POST,sessions/:sessionId/complete,bank-reconciliation.controller,complete,bank-reconciliation,global,n/a,no,global,guard-primary,n/a,project-assignment-boundary,scope-static,classified
POST,,booking-cancellations.controller,request,booking-cancellations,project,resource+header/query/body/params,yes,project,guard-primary,n/a,project-assignment-boundary,idor-matrix-partial,classified
GET,,booking-cancellations.controller,list,booking-cancellations,project,resource+header/query/body/params,yes,project,guard-primary,n/a,project-assignment-boundary,idor-matrix-partial,classified
GET,:id,booking-cancellations.controller,getById,booking-cancellations,project,resource+header/query/body/params,yes,project,guard-primary,n/a,project-assignment-boundary,idor-matrix-partial,classified
POST,:id/review,booking-cancellations.controller,review,booking-cancellations,project,resource+header/query/body/params,yes,project,guard-primary,n/a,project-assignment-boundary,idor-matrix-partial,classified
POST,:id/submit-approval,booking-cancellations.controller,submitForApproval,booking-cancellations,project,resource+header/query/body/params,yes,project,guard-primary,n/a,project-assignment-boundary,idor-matrix-partial,classified
POST,:id/approve,booking-cancellations.controller,approve,booking-cancellations,project,resource+header/query/body/params,yes,project,guard-primary,n/a,project-assignment-boundary,idor-matrix-partial,classified
POST,:id/reject,booking-cancellations.controller,reject,booking-cancellations,project,resource+header/query/body/params,yes,project,guard-primary,n/a,project-assignment-boundary,idor-matrix-partial,classified
POST,:id/process-refund,booking-cancellations.controller,processRefund,booking-cancellations,project,resource+header/query/body/params,yes,project,guard-primary,n/a,project-assignment-boundary,idor-matrix-partial,classified
POST,:id/release-unit,booking-cancellations.controller,releaseUnit,booking-cancellations,project,resource+header/query/body/params,yes,project,guard-primary,n/a,project-assignment-boundary,idor-matrix-partial,classified
POST,:id/documents,booking-cancellations.controller,addDocument,booking-cancellations,project,resource+header/query/body/params,yes,project,guard-primary,n/a,project-assignment-boundary,idor-matrix-partial,classified
POST,,bookings.controller,create,bookings,project,resource+header/query/body/params,yes,project,guard-primary,n/a,project-assignment-boundary,idor-matrix-partial,classified
GET,,bookings.controller,list,bookings,project,resource+header/query/body/params,yes,project,guard-primary,n/a,project-assignment-boundary,idor-matrix-partial,classified
POST,jobs/expire-holds,bookings.controller,expireHolds,bookings,project,resource+header/query/body/params,yes,project,guard-primary,n/a,project-assignment-boundary,idor-matrix-partial,classified
GET,:id,bookings.controller,getById,bookings,project,resource+header/query/body/params,yes,project,guard-primary,n/a,project-assignment-boundary,idor-matrix-partial,classified
PATCH,:id,bookings.controller,update,bookings,project,resource+header/query/body/params,yes,project,guard-primary,n/a,project-assignment-boundary,idor-matrix-partial,classified
POST,:id/transition,bookings.controller,transition,bookings,project,resource+header/query/body/params,yes,project,guard-primary,n/a,project-assignment-boundary,idor-matrix-partial,classified
POST,:id/approve-discount,bookings.controller,approveDiscount,bookings,project,resource+header/query/body/params,yes,project,guard-primary,n/a,project-assignment-boundary,idor-matrix-partial,classified
POST,:id/reject-discount,bookings.controller,rejectDiscount,bookings,project,resource+header/query/body/params,yes,project,guard-primary,n/a,project-assignment-boundary,idor-matrix-partial,classified
POST,:id/cancel,bookings.controller,cancel,bookings,project,resource+header/query/body/params,yes,project,guard-primary,n/a,project-assignment-boundary,idor-matrix-partial,classified
POST,:id/booking-form,bookings.controller,generateBookingForm,bookings,project,resource+header/query/body/params,yes,project,guard-primary,n/a,project-assignment-boundary,idor-matrix-partial,classified
POST,projects/:projectId/blocks,boq.controller,createBlock,boq,project,resource+header/query/body/params,yes,project,guard-primary,n/a,project-assignment-boundary,idor-matrix-partial,classified
GET,projects/:projectId/blocks,boq.controller,listBlocks,boq,project,resource+header/query/body/params,yes,project,guard-primary,n/a,project-assignment-boundary,idor-matrix-partial,classified
PATCH,blocks/:id,boq.controller,updateBlock,boq,project,resource+header/query/body/params,yes,project,guard-primary,n/a,project-assignment-boundary,idor-matrix-partial,classified
POST,blocks/:blockId/floors,boq.controller,createFloor,boq,project,resource+header/query/body/params,yes,project,guard-primary,n/a,project-assignment-boundary,idor-matrix-partial,classified
GET,blocks/:blockId/floors,boq.controller,listFloors,boq,project,resource+header/query/body/params,yes,project,guard-primary,n/a,project-assignment-boundary,idor-matrix-partial,classified
PATCH,floors/:id,boq.controller,updateFloor,boq,project,resource+header/query/body/params,yes,project,guard-primary,n/a,project-assignment-boundary,idor-matrix-partial,classified
POST,floors/:floorId/work-categories,boq.controller,createWorkCategory,boq,project,resource+header/query/body/params,yes,project,guard-primary,n/a,project-assignment-boundary,idor-matrix-partial,classified
GET,floors/:floorId/work-categories,boq.controller,listWorkCategories,boq,project,resource+header/query/body/params,yes,project,guard-primary,n/a,project-assignment-boundary,idor-matrix-partial,classified
PATCH,work-categories/:id,boq.controller,updateWorkCategory,boq,project,resource+header/query/body/params,yes,project,guard-primary,n/a,project-assignment-boundary,idor-matrix-partial,classified
GET,projects/:projectId/hierarchy,boq.controller,getHierarchy,boq,project,resource+header/query/body/params,yes,project,guard-primary,n/a,project-assignment-boundary,idor-matrix-partial,classified
POST,projects/:projectId/versions,boq.controller,createVersion,boq,project,resource+header/query/body/params,yes,project,guard-primary,n/a,project-assignment-boundary,idor-matrix-partial,classified
GET,projects/:projectId/versions,boq.controller,listVersions,boq,project,resource+header/query/body/params,yes,project,guard-primary,n/a,project-assignment-boundary,idor-matrix-partial,classified
GET,projects/:projectId/versions/active,boq.controller,getActiveVersion,boq,project,resource+header/query/body/params,yes,project,guard-primary,n/a,project-assignment-boundary,idor-matrix-partial,classified
GET,projects/:projectId/versions/compare,boq.controller,compareVersions,boq,project,resource+header/query/body/params,yes,project,guard-primary,n/a,project-assignment-boundary,idor-matrix-partial,classified
GET,versions/:id,boq.controller,getVersion,boq,project,resource+header/query/body/params,yes,project,guard-primary,n/a,project-assignment-boundary,idor-matrix-partial,classified
PATCH,versions/:id,boq.controller,updateVersion,boq,project,resource+header/query/body/params,yes,project,guard-primary,n/a,project-assignment-boundary,idor-matrix-partial,classified
POST,versions/:id/submit,boq.controller,submitVersion,boq,project,resource+header/query/body/params,yes,project,guard-primary,n/a,project-assignment-boundary,idor-matrix-partial,classified
POST,versions/:id/approve,boq.controller,approveVersion,boq,project,resource+header/query/body/params,yes,project,guard-primary,n/a,project-assignment-boundary,idor-matrix-partial,classified
POST,versions/:id/reject,boq.controller,rejectVersion,boq,project,resource+header/query/body/params,yes,project,guard-primary,n/a,project-assignment-boundary,idor-matrix-partial,classified
POST,versions/:id/activate,boq.controller,activateVersion,boq,project,resource+header/query/body/params,yes,project,guard-primary,n/a,project-assignment-boundary,idor-matrix-partial,classified
POST,projects/:projectId/items,boq.controller,createItem,boq,project,resource+header/query/body/params,yes,project,guard-primary,n/a,project-assignment-boundary,idor-matrix-partial,classified
GET,projects/:projectId/items,boq.controller,listItems,boq,project,resource+header/query/body/params,yes,project,guard-primary,n/a,project-assignment-boundary,idor-matrix-partial,classified
GET,items/:id,boq.controller,getItem,boq,project,resource+header/query/body/params,yes,project,guard-primary,n/a,project-assignment-boundary,idor-matrix-partial,classified
PATCH,items/:id,boq.controller,updateItem,boq,project,resource+header/query/body/params,yes,project,guard-primary,n/a,project-assignment-boundary,idor-matrix-partial,classified
POST,projects/:projectId/validate-totals,boq.controller,validateTotals,boq,project,resource+header/query/body/params,yes,project,guard-primary,n/a,project-assignment-boundary,idor-matrix-partial,classified
GET,import-template,boq.controller,downloadTemplate,boq,project,resource+header/query/body/params,yes,project,guard-primary,n/a,project-assignment-boundary,idor-matrix-partial,classified
POST,projects/:projectId/import,boq.controller,importExcel,boq,project,resource+header/query/body/params,yes,project,guard-primary,n/a,project-assignment-boundary,idor-matrix-partial,classified
GET,projects/:projectId/export,boq.controller,exportExcel,boq,project,resource+header/query/body/params,yes,project,guard-primary,n/a,project-assignment-boundary,idor-matrix-partial,classified
POST,,cash-accounts.controller,create,cash-accounts,project,resource+header/query/body/params,yes,project,guard-primary,n/a,project-assignment-boundary,idor-matrix-partial,classified
GET,,cash-accounts.controller,list,cash-accounts,project,resource+header/query/body/params,yes,project,guard-primary,n/a,project-assignment-boundary,idor-matrix-partial,classified
GET,:id,cash-accounts.controller,getById,cash-accounts,project,resource+header/query/body/params,yes,project,guard-primary,n/a,project-assignment-boundary,idor-matrix-partial,classified
GET,:id/balance,cash-accounts.controller,balance,cash-accounts,project,resource+header/query/body/params,yes,project,guard-primary,n/a,project-assignment-boundary,idor-matrix-partial,classified
GET,:id/ledger,cash-accounts.controller,ledger,cash-accounts,project,resource+header/query/body/params,yes,project,guard-primary,n/a,project-assignment-boundary,idor-matrix-partial,classified
POST,:id/assign-custodian,cash-accounts.controller,assign,cash-accounts,project,resource+header/query/body/params,yes,project,guard-primary,n/a,project-assignment-boundary,idor-matrix-partial,classified
POST,:id/transfer-custodian,cash-accounts.controller,transfer,cash-accounts,project,resource+header/query/body/params,yes,project,guard-primary,n/a,project-assignment-boundary,idor-matrix-partial,classified
POST,:id/confirm-handover,cash-accounts.controller,confirm,cash-accounts,project,resource+header/query/body/params,yes,project,guard-primary,n/a,project-assignment-boundary,idor-matrix-partial,classified
POST,:id/cancel-handover,cash-accounts.controller,cancelHandover,cash-accounts,project,resource+header/query/body/params,yes,project,guard-primary,n/a,project-assignment-boundary,idor-matrix-partial,classified
POST,:id/close,cash-accounts.controller,close,cash-accounts,project,resource+header/query/body/params,yes,project,guard-primary,n/a,project-assignment-boundary,idor-matrix-partial,classified
POST,,chart-of-accounts.controller,create,chart-of-accounts,global,n/a,no,global,guard-primary,n/a,project-assignment-boundary,scope-static,classified
POST,seed-standard,chart-of-accounts.controller,seed,chart-of-accounts,global,n/a,no,global,guard-primary,n/a,project-assignment-boundary,scope-static,classified
GET,tree,chart-of-accounts.controller,tree,chart-of-accounts,global,n/a,no,global,guard-primary,n/a,project-assignment-boundary,scope-static,classified
GET,by-code/:accountCode,chart-of-accounts.controller,getByCode,chart-of-accounts,global,n/a,no,global,guard-primary,n/a,project-assignment-boundary,scope-static,classified
GET,,chart-of-accounts.controller,list,chart-of-accounts,global,n/a,no,global,guard-primary,n/a,project-assignment-boundary,scope-static,classified
GET,:id,chart-of-accounts.controller,getById,chart-of-accounts,global,n/a,no,global,guard-primary,n/a,project-assignment-boundary,scope-static,classified
PATCH,:id,chart-of-accounts.controller,update,chart-of-accounts,global,n/a,no,global,guard-primary,n/a,project-assignment-boundary,scope-static,classified
POST,:id/parent,chart-of-accounts.controller,setParent,chart-of-accounts,global,n/a,no,global,guard-primary,n/a,project-assignment-boundary,scope-static,classified
POST,:id/activate,chart-of-accounts.controller,activate,chart-of-accounts,global,n/a,no,global,guard-primary,n/a,project-assignment-boundary,scope-static,classified
POST,:id/deactivate,chart-of-accounts.controller,deactivate,chart-of-accounts,global,n/a,no,global,guard-primary,n/a,project-assignment-boundary,scope-static,classified
DELETE,:id,chart-of-accounts.controller,remove,chart-of-accounts,global,n/a,no,global,guard-primary,n/a,project-assignment-boundary,scope-static,classified
GET,primary,company.controller,getPrimary,company,global,n/a,no,global,guard-primary,n/a,project-assignment-boundary,scope-static,classified
GET,:id,company.controller,getById,company,global,n/a,no,global,guard-primary,n/a,project-assignment-boundary,scope-static,classified
PATCH,:id,company.controller,update,company,global,n/a,no,global,guard-primary,n/a,project-assignment-boundary,scope-static,classified
PATCH,:id/statutory,company.controller,updateStatutory,company,global,n/a,no,global,guard-primary,n/a,project-assignment-boundary,scope-static,classified
POST,:id/capital,company.controller,updateCapital,company,global,n/a,no,global,guard-primary,n/a,project-assignment-boundary,scope-static,classified
POST,:id/logo,company.controller,uploadLogo,company,global,n/a,no,global,guard-primary,n/a,project-assignment-boundary,scope-static,classified
GET,:id/address-history,company.controller,listAddressHistory,company,global,n/a,no,global,guard-primary,n/a,project-assignment-boundary,scope-static,classified
GET,:id/capital-history,company.controller,listCapitalHistory,company,global,n/a,no,global,guard-primary,n/a,project-assignment-boundary,scope-static,classified
POST,,company-bank-accounts.controller,create,company-bank-accounts,global,n/a,no,global,guard-primary,n/a,project-assignment-boundary,scope-static,classified
GET,,company-bank-accounts.controller,list,company-bank-accounts,global,n/a,no,global,guard-primary,n/a,project-assignment-boundary,scope-static,classified
GET,:id,company-bank-accounts.controller,getById,company-bank-accounts,global,n/a,no,global,guard-primary,n/a,project-assignment-boundary,scope-static,classified
GET,:id/balance,company-bank-accounts.controller,balance,company-bank-accounts,global,n/a,no,global,guard-primary,n/a,project-assignment-boundary,scope-static,classified
GET,:id/ledger,company-bank-accounts.controller,ledger,company-bank-accounts,global,n/a,no,global,guard-primary,n/a,project-assignment-boundary,scope-static,classified
PATCH,:id,company-bank-accounts.controller,update,company-bank-accounts,global,n/a,no,global,guard-primary,n/a,project-assignment-boundary,scope-static,classified
POST,:id/activate,company-bank-accounts.controller,activate,company-bank-accounts,global,n/a,no,global,guard-primary,n/a,project-assignment-boundary,scope-static,classified
POST,:id/deactivate,company-bank-accounts.controller,deactivate,company-bank-accounts,global,n/a,no,global,guard-primary,n/a,project-assignment-boundary,scope-static,classified
POST,:id/set-default,company-bank-accounts.controller,setDefault,company-bank-accounts,global,n/a,no,global,guard-primary,n/a,project-assignment-boundary,scope-static,classified
GET,,construction-reports.controller,list,construction-reports,project,header/query/body/params,no,project,guard-primary,n/a,project-assignment-boundary,idor-matrix-partial,classified
GET,:reportType/export,construction-reports.controller,export,construction-reports,project,header/query/body/params,no,project,guard-primary,n/a,project-assignment-boundary,idor-matrix-partial,classified
GET,:reportType,construction-reports.controller,getReport,construction-reports,project,header/query/body/params,no,project,guard-primary,n/a,project-assignment-boundary,idor-matrix-partial,classified
POST,,contractor-agreements.controller,create,contractor-agreements,project,resource+header/query/body/params,yes,project,guard-primary,n/a,project-assignment-boundary,idor-matrix-partial,classified
GET,,contractor-agreements.controller,list,contractor-agreements,project,resource+header/query/body/params,yes,project,guard-primary,n/a,project-assignment-boundary,idor-matrix-partial,classified
GET,expiry-alerts,contractor-agreements.controller,listExpiryAlerts,contractor-agreements,project,resource+header/query/body/params,yes,project,guard-primary,n/a,project-assignment-boundary,idor-matrix-partial,classified
POST,expiry-alerts/evaluate,contractor-agreements.controller,evaluateExpiry,contractor-agreements,project,resource+header/query/body/params,yes,project,guard-primary,n/a,project-assignment-boundary,idor-matrix-partial,classified
POST,expiry-alerts/:alertId/acknowledge,contractor-agreements.controller,acknowledgeAlert,contractor-agreements,project,resource+header/query/body/params,yes,project,guard-primary,n/a,project-assignment-boundary,idor-matrix-partial,classified
GET,by-number/:agreementNumber/versions,contractor-agreements.controller,listVersions,contractor-agreements,project,resource+header/query/body/params,yes,project,guard-primary,n/a,project-assignment-boundary,idor-matrix-partial,classified
GET,:id,contractor-agreements.controller,getById,contractor-agreements,project,resource+header/query/body/params,yes,project,guard-primary,n/a,project-assignment-boundary,idor-matrix-partial,classified
PATCH,:id,contractor-agreements.controller,update,contractor-agreements,project,resource+header/query/body/params,yes,project,guard-primary,n/a,project-assignment-boundary,idor-matrix-partial,classified
POST,:id/amend,contractor-agreements.controller,amend,contractor-agreements,project,resource+header/query/body/params,yes,project,guard-primary,n/a,project-assignment-boundary,idor-matrix-partial,classified
POST,:id/submit,contractor-agreements.controller,submit,contractor-agreements,project,resource+header/query/body/params,yes,project,guard-primary,n/a,project-assignment-boundary,idor-matrix-partial,classified
POST,:id/approve,contractor-agreements.controller,approve,contractor-agreements,project,resource+header/query/body/params,yes,project,guard-primary,n/a,project-assignment-boundary,idor-matrix-partial,classified
POST,:id/reject,contractor-agreements.controller,reject,contractor-agreements,project,resource+header/query/body/params,yes,project,guard-primary,n/a,project-assignment-boundary,idor-matrix-partial,classified
POST,:id/terminate,contractor-agreements.controller,terminate,contractor-agreements,project,resource+header/query/body/params,yes,project,guard-primary,n/a,project-assignment-boundary,idor-matrix-partial,classified
POST,:id/disburse-advance,contractor-agreements.controller,disburseAdvance,contractor-agreements,project,resource+header/query/body/params,yes,project,guard-primary,n/a,project-assignment-boundary,idor-matrix-partial,classified
POST,,contractor-bills.controller,create,contractor-bills,project,resource+header/query/body/params,yes,project,guard-primary,n/a,project-assignment-boundary,idor-matrix-partial,classified
GET,,contractor-bills.controller,list,contractor-bills,project,resource+header/query/body/params,yes,project,guard-primary,n/a,project-assignment-boundary,idor-matrix-partial,classified
GET,:id,contractor-bills.controller,getById,contractor-bills,project,resource+header/query/body/params,yes,project,guard-primary,n/a,project-assignment-boundary,idor-matrix-partial,classified
PATCH,:id,contractor-bills.controller,update,contractor-bills,project,resource+header/query/body/params,yes,project,guard-primary,n/a,project-assignment-boundary,idor-matrix-partial,classified
POST,:id/submit-claim,contractor-bills.controller,submitClaim,contractor-bills,project,resource+header/query/body/params,yes,project,guard-primary,n/a,project-assignment-boundary,idor-matrix-partial,classified
POST,:id/engineer-verify,contractor-bills.controller,engineerVerify,contractor-bills,project,resource+header/query/body/params,yes,project,guard-primary,n/a,project-assignment-boundary,idor-matrix-partial,classified
POST,:id/pm-certify,contractor-bills.controller,pmCertify,contractor-bills,project,resource+header/query/body/params,yes,project,guard-primary,n/a,project-assignment-boundary,idor-matrix-partial,classified
POST,:id/finance-verify,contractor-bills.controller,financeVerify,contractor-bills,project,resource+header/query/body/params,yes,project,guard-primary,n/a,project-assignment-boundary,idor-matrix-partial,classified
POST,:id/director-approve,contractor-bills.controller,directorApprove,contractor-bills,project,resource+header/query/body/params,yes,project,guard-primary,n/a,project-assignment-boundary,idor-matrix-partial,classified
POST,:id/post,contractor-bills.controller,post,contractor-bills,project,resource+header/query/body/params,yes,project,guard-primary,n/a,project-assignment-boundary,idor-matrix-partial,classified
POST,:id/mark-paid,contractor-bills.controller,markPaid,contractor-bills,project,resource+header/query/body/params,yes,project,guard-primary,n/a,project-assignment-boundary,idor-matrix-partial,classified
POST,:id/reject,contractor-bills.controller,reject,contractor-bills,project,resource+header/query/body/params,yes,project,guard-primary,n/a,project-assignment-boundary,idor-matrix-partial,classified
POST,:id/cancel,contractor-bills.controller,cancel,contractor-bills,project,resource+header/query/body/params,yes,project,guard-primary,n/a,project-assignment-boundary,idor-matrix-partial,classified
POST,,contractor-payments.controller,create,contractor-payments,project,resource+header/query/body/params,yes,project,guard-primary,n/a,project-assignment-boundary,idor-matrix-partial,classified
GET,,contractor-payments.controller,list,contractor-payments,project,resource+header/query/body/params,yes,project,guard-primary,n/a,project-assignment-boundary,idor-matrix-partial,classified
GET,:id,contractor-payments.controller,getById,contractor-payments,project,resource+header/query/body/params,yes,project,guard-primary,n/a,project-assignment-boundary,idor-matrix-partial,classified
PATCH,:id,contractor-payments.controller,update,contractor-payments,project,resource+header/query/body/params,yes,project,guard-primary,n/a,project-assignment-boundary,idor-matrix-partial,classified
POST,:id/submit,contractor-payments.controller,submit,contractor-payments,project,resource+header/query/body/params,yes,project,guard-primary,n/a,project-assignment-boundary,idor-matrix-partial,classified
POST,:id/approve,contractor-payments.controller,approve,contractor-payments,project,resource+header/query/body/params,yes,project,guard-primary,n/a,project-assignment-boundary,idor-matrix-partial,classified
POST,:id/release,contractor-payments.controller,release,contractor-payments,project,resource+header/query/body/params,yes,project,guard-primary,n/a,project-assignment-boundary,idor-matrix-partial,classified
POST,:id/verify,contractor-payments.controller,verify,contractor-payments,project,resource+header/query/body/params,yes,project,guard-primary,n/a,project-assignment-boundary,idor-matrix-partial,classified
POST,:id/post,contractor-payments.controller,post,contractor-payments,project,resource+header/query/body/params,yes,project,guard-primary,n/a,project-assignment-boundary,idor-matrix-partial,classified
POST,:id/cancel,contractor-payments.controller,cancel,contractor-payments,project,resource+header/query/body/params,yes,project,guard-primary,n/a,project-assignment-boundary,idor-matrix-partial,classified
POST,,contractors.controller,create,contractors,global,n/a,no,global,guard-primary,n/a,project-assignment-boundary,scope-static,classified
GET,,contractors.controller,list,contractors,global,n/a,no,global,guard-primary,n/a,project-assignment-boundary,scope-static,classified
GET,:id,contractors.controller,getById,contractors,global,n/a,no,global,guard-primary,n/a,project-assignment-boundary,scope-static,classified
PATCH,:id,contractors.controller,update,contractors,global,n/a,no,global,guard-primary,n/a,project-assignment-boundary,scope-static,classified
POST,:id/verify,contractors.controller,verify,contractors,global,n/a,no,global,guard-primary,n/a,project-assignment-boundary,scope-static,classified
